Sexo;Sección;Nacionalidad;Total
Ambos Sexos;TOTAL;Total Población;1.004.686
Ambos Sexos;TOTAL;Españoles;959.056
Ambos Sexos;TOTAL;Total Extranjeros;45.630
Ambos Sexos;TOTAL;Total Unión Europea;13.192
Ambos Sexos;TOTAL;Alemania;475
Ambos Sexos;TOTAL;Bulgaria;420
Ambos Sexos;TOTAL;Francia;631
Ambos Sexos;TOTAL;Italia;1.521
Ambos Sexos;TOTAL;Polonia;675
Ambos Sexos;TOTAL;Portugal;1.759
Ambos Sexos;TOTAL;Rumanía;6.568
Ambos Sexos;TOTAL;Total Resto de Europa;2.959
Ambos Sexos;TOTAL;Reino Unido;1.060
Ambos Sexos;TOTAL;Rusia;527
Ambos Sexos;TOTAL;Ucrania;877
Ambos Sexos;TOTAL;Total África;6.113
Ambos Sexos;TOTAL;Argelia;490
Ambos Sexos;TOTAL;Marruecos;3.059
Ambos Sexos;TOTAL;Nigeria;300
Ambos Sexos;TOTAL;Senegal;1.493
Ambos Sexos;TOTAL;Total América;20.464
Ambos Sexos;TOTAL;Argentina;933
Ambos Sexos;TOTAL;Bolivia;206
Ambos Sexos;TOTAL;Brasil;2.056
Ambos Sexos;TOTAL;Chile;230
Ambos Sexos;TOTAL;Colombia;4.125
Ambos Sexos;TOTAL;Cuba;1.482
Ambos Sexos;TOTAL;Ecuador;804
Ambos Sexos;TOTAL;Paraguay;2.133
Ambos Sexos;TOTAL;Perú;892
Ambos Sexos;TOTAL;República Dominicana;1.473
Ambos Sexos;TOTAL;Uruguay;226
Ambos Sexos;TOTAL;Venezuela;3.333
Ambos Sexos;TOTAL;Total Asia;2.650
Ambos Sexos;TOTAL;China;1.481
Ambos Sexos;TOTAL;Pakistán;356
Ambos Sexos;TOTAL;Oceanía y Apátridas;252
Ambos Sexos;3300101001;Total Población;1.574
Ambos Sexos;3300101001;Españoles;1.528
Ambos Sexos;3300101001;Total Extranjeros;46
Ambos Sexos;3300101001;Total Unión Europea;15
Ambos Sexos;3300101001;Alemania;1
Ambos Sexos;3300101001;Bulgaria;0
Ambos Sexos;3300101001;Francia;0
Ambos Sexos;3300101001;Italia;0
Ambos Sexos;3300101001;Polonia;5
Ambos Sexos;3300101001;Portugal;0
Ambos Sexos;3300101001;Rumanía;5
Ambos Sexos;3300101001;Total Resto de Europa;0
Ambos Sexos;3300101001;Reino Unido;0
Ambos Sexos;3300101001;Rusia;0
Ambos Sexos;3300101001;Ucrania;0
Ambos Sexos;3300101001;Total África;12
Ambos Sexos;3300101001;Argelia;0
Ambos Sexos;3300101001;Marruecos;12
Ambos Sexos;3300101001;Nigeria;0
Ambos Sexos;3300101001;Senegal;0
Ambos Sexos;3300101001;Total América;18
Ambos Sexos;3300101001;Argentina;0
Ambos Sexos;3300101001;Bolivia;0
Ambos Sexos;3300101001;Brasil;2
Ambos Sexos;3300101001;Chile;0
Ambos Sexos;3300101001;Colombia;10
Ambos Sexos;3300101001;Cuba;0
Ambos Sexos;3300101001;Ecuador;0
Ambos Sexos;3300101001;Paraguay;1
Ambos Sexos;3300101001;Perú;0
Ambos Sexos;3300101001;República Dominicana;2
Ambos Sexos;3300101001;Uruguay;0
Ambos Sexos;3300101001;Venezuela;0
Ambos Sexos;3300101001;Total Asia;1
Ambos Sexos;3300101001;China;1
Ambos Sexos;3300101001;Pakistán;0
Ambos Sexos;3300101001;Oceanía y Apátridas;0
Ambos Sexos;3300201001;Total Población;1.349
Ambos Sexos;3300201001;Españoles;1.307
Ambos Sexos;3300201001;Total Extranjeros;42
Ambos Sexos;3300201001;Total Unión Europea;19
Ambos Sexos;3300201001;Alemania;0
Ambos Sexos;3300201001;Bulgaria;0
Ambos Sexos;3300201001;Francia;1
Ambos Sexos;3300201001;Italia;1
Ambos Sexos;3300201001;Polonia;0
Ambos Sexos;3300201001;Portugal;4
Ambos Sexos;3300201001;Rumanía;12
Ambos Sexos;3300201001;Total Resto de Europa;1
Ambos Sexos;3300201001;Reino Unido;0
Ambos Sexos;3300201001;Rusia;0
Ambos Sexos;3300201001;Ucrania;1
